C2,C30,C32;POLARIZED_CAPACITOR;SMD_POLAR-120-60;3
C20,C3,C31,C4,C5,C6,C7,C8,C9;CAPACITOR;SM1206;9
CONN1;HEADER20;HEADER_20-1;1
CONN2;CONNECTOR_4;CON_USB_MINI_B;1
CONN4;CONNECTOR_8;conn_jtag;1
D1,D2;1N5817;DO-204AL;2
J1;JUMPER;JUMPER2;1
R10,R11,R12,R13,R14,R15,R16,R17,R2,R20,R21,R22,R23,R3,R32,R33,R34,R4,R5,R6,R7,R8,R9;RESISTOR;SM0805;23
refdes;device;footprint;qty
U1;CY7C64603-52NC;PQFP52_10X10_52;1
U2;24C64;SO8;1
U20;7414;SO14;1
U30;MAX882;SO8;1
U40;SN75240;DIP8;1
X1;CRYSTAL;HC49;1
